Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:00,20:00,03h 00m,INR 429,20 Seats available,"3.9
92",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),17:00,19:50,02h 50m,INR 429,29 Seats available,"4.7
15",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:30,20:25,02h 55m,INR 429,30 Seats available,4.4,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),17:40,20:30,02h 50m,INR 429,22 Seats available,"3.9
40",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:45,20:45,03h 00m,INR 429,37 Seats available,"3.0
30",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline,Volvo A/C Seater (2+2),18:10,21:00,02h 50m,INR 429,27 Seats available,4.2,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),18:30,21:20,02h 50m,INR 429,27 Seats available,"3.5
14",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:40,22:50,03h 10m,INR 429,46 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:55,21:35,02h 40m,INR 429,14 Seats available,"2.8
36",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),19:15,22:00,02h 45m,INR 429,17 Seats available,"2.6
23",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:00,18:45,01h 55m,INR 429,24 Seats available,"4.4
50",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),17:30,20:00,02h 30m,INR 429,32 Seats available,"4.6
86",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo A/C Seater (2+2),18:05,20:45,02h 40m,INR 429,35 Seats available,"4.7
10",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,20:40,02h 00m,INR 429,30 Seats available,"4.7
16",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),18:50,22:00,03h 10m,INR 111,61 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Royal Cruiser,Volvo A/C Seater (2+2),19:30,22:15,02h 45m,380,32 Seats available,"2.8
5",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),21:00,23:59,02h 59m,INR 111,54 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,A/C Sleeper (2+1),21:00,23:59,02h 59m,1235,20 Seats available,3.7,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,Non A/C Seater / Sleeper (2+1),21:00,23:59,02h 59m,618,28 Seats available,3.7,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,21:30,03h 00m,INR 500,54 Seats available, ,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SBSTC-ASANSOL - KARUNAMOYEE - 16:40 (ASANSOL DEPOT) - 847,Non AC Seater (2+3),17:50,22:00,04h 10m,INR 155,48 Seats available,"4.1
70",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline,Volvo A/C Seater (2+2),17:10,21:00,03h 50m,INR 486,20 Seats available,"3.8
117",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),17:30,21:20,03h 50m,INR 486,25 Seats available,"4.1
240",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,03h 45m,INR 486,10 Seats available,"4.2
302",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
